time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,6,5,27,15
2026-07-27 00:00:00+00:00,21,10,11,8
2026-07-28 00:00:00+00:00,15,6,23,14
2026-07-29 00:00:00+00:00,6,4,33,11
2026-07-30 00:00:00+00:00,21,11,30,15
2026-07-31 00:00:00+00:00,3,2,18,12
2026-08-01 00:00:00+00:00,25,11,16,10
2026-08-02 00:00:00+00:00,17,4,19,4
2026-08-03 00:00:00+00:00,4,3,20,13
2026-08-04 00:00:00+00:00,17,7,11,7
2026-08-05 00:00:00+00:00,6,5,23,12
2026-08-06 00:00:00+00:00,4,3,19,8
2026-08-07 00:00:00+00:00,4,3,16,13
2026-08-08 00:00:00+00:00,30,9,25,17
