url_path,views_total,views_unique
/hcmhcs/screenTranslate,307,181
/hcmhcs/screenTranslate/releases/tag/v1.5.2,65,55
/hcmhcs/screenTranslate/releases,18,17
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,11,10
/hcmhcs/screenTranslate/issues,9,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj,5,5
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,4,4
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,4,4
/hcmhcs/screentranslate,4,3
/hcmhcs/screenTranslate/issues/3,3,3
