time_iso8601,stars_cumulative
2026-03-04 00:00:00+00:00,2
2026-03-06 00:00:00+00:00,4
2026-03-07 00:00:00+00:00,7
2026-03-08 00:00:00+00:00,10
2026-03-09 00:00:00+00:00,12
2026-03-10 00:00:00+00:00,13
2026-03-11 00:00:00+00:00,14
2026-03-17 00:00:00+00:00,16
2026-03-18 00:00:00+00:00,17
2026-03-19 00:00:00+00:00,18
2026-03-20 00:00:00+00:00,20
2026-03-23 00:00:00+00:00,22
2026-03-25 00:00:00+00:00,23
2026-04-02 00:00:00+00:00,24
2026-04-06 00:00:00+00:00,25
2026-04-13 00:00:00+00:00,26
2026-04-14 00:00:00+00:00,27
2026-04-21 00:00:00+00:00,28
2026-04-22 00:00:00+00:00,29
2026-04-25 00:00:00+00:00,30
2026-04-28 00:00:00+00:00,31
